18:11:29:15:49,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Added precalculation of anti-symm term.
18:11:29:15:59,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Added #pragma within #pragma... living that #pragma life.
18:11:29:15:59,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Added #pragma within #pragma... living that #pragma life.
18:12:03:10:59,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=6 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Running up higher nmax to test if it works/isn't shit.
18:12:03:10:59,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=8 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Running up higher nmax to test if it works/isn't shit.
18:12:11:16:19,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=5 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=1 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,|Trying n_max=5 lmax=1,2 to try to figure out wtf is taking so long.|
18:12:11:16:19,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=5 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=2 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,|Trying n_max=5 lmax=1,2 to try to figure out wtf is taking so long.|
19:01:22:12:05,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Implemented ee_brown_miller.
19:01:22:12:05,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Implemented ee_brown_miller.
19:01:22:12:25,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Correctly changed Atomic.cc to use ElectronTwoBody using Browne and Miller.
19:01:22:12:25,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Correctly changed Atomic.cc to use ElectronTwoBody using Browne and Miller.
19:01:31:17:28,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Implemented my own operator
19:01:31:17:28,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Implemented my own operator
<<<<<<< HEAD
19:02:01:16:27,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Running improved ME.
19:02:01:16:27,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=4 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Running improved ME.
=======
19:02:14:16:11,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,|Trying hydrogen basis, just to see if I goofed anything.|
19:02:14:16:17,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,|Trying again, adding softlink to libIMSRG.so|
19:02:14:16:24,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Re-installed libIMSRG.so and relinked to ld_lib and lib.
19:02:14:17:11,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Testing the reverted case.
19:02:14:17:44,/global/home/dlivermore/imsrg/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Testing new building with many new includes.
19:02:14:17:46,/global/home/dlivermore/imsrg_backup/work/compiled/Atomic systemBasis=hydrogen smax=500 reference=He4 valence_space=He4 basis=HF emax=2 Operators= omega_norm_max=0.25 hw=1 dsmax=0.5 lmax=0 file2lmax=6 2bme= e3max=0 file2e1max=6 file2e2max=12 method=magnus,Testing new building with many new includes; correctly
